State,Year,Group_Name,Sub_Group_Name,Cases_Acquitted,Cases_Chargesheeted,Cases_Convicted,Pending_Investigation_End,Pending_Trial_End,Cases_Reported,Cases_Sent_for_Trial,Trials_Completed,Total_Cases_for_Trial
Dadra & Nagar Haveli,2003,Rape,01. Rape,2,0,1,1,7,1,0,3,10
Daman & Diu,2003,Rape,01. Rape,0,2,0,2,3,5,2,0,3
Delhi,2003,Rape,01. Rape,403,460,114,181,1540,490,460,517,2057
Goa,2003,Rape,01. Rape,11,13,7,23,35,31,13,18,54
Gujarat,2003,Rape,01. Rape,205,216,24,25,1939,236,216,229,2172
Haryana,2003,Rape,01. Rape,269,288,94,19,496,353,288,363,859
Himachal Pradesh,2003,Rape,01. Rape,94,106,28,45,376,126,106,122,498
Jammu & Kashmir,2003,Rape,01. Rape,79,168,9,69,664,211,168,88,755
Jharkhand,2003,Rape,01. Rape,395,509,131,453,2095,712,509,526,2628
Karnataka,2003,Rape,01. Rape,248,268,39,104,1163,321,268,287,1451
Kerala,2003,Rape,01. Rape,185,409,45,480,2629,394,409,230,2862
Lakshadweep,2003,Rape,01. Rape,0,1,0,2,1,2,1,0,1
Madhya Pradesh,2003,Rape,01. Rape,2110,2580,604,209,6754,2738,2580,2714,9522
Maharashtra,2003,Rape,01. Rape,994,1203,190,259,9964,1268,1203,1184,11177
Manipur,2003,Rape,01. Rape,2,3,1,36,46,18,3,3,49
Meghalaya,2003,Rape,01. Rape,2,18,2,96,264,40,18,4,268
Mizoram,2003,Rape,01. Rape,4,69,18,14,153,54,69,22,175
Nagaland,2003,Rape,01. Rape,2,12,7,18,57,14,12,9,67
Odisha,2003,Rape,01. Rape,416,707,123,233,2682,725,707,539,3221
Puducherry,2003,Rape,01. Rape,0,3,1,5,18,2,3,1,19
Punjab,2003,Rape,01. Rape,210,273,108,131,182,380,273,318,502
Rajasthan,2003,Rape,01. Rape,636,649,283,144,1954,1050,649,919,2885
Sikkim,2003,Rape,01. Rape,2,8,1,4,7,10,8,3,10
Tamil Nadu,2003,Rape,01. Rape,340,477,115,303,1330,557,477,455,1786
Tripura,2003,Rape,01. Rape,37,99,14,67,205,114,99,51,256
Uttar Pradesh,2003,Rape,01. Rape,654,719,682,100,4780,911,719,1336,6122
Uttarakhand,2003,Rape,01. Rape,43,86,32,18,170,107,86,75,245
West Bengal,2003,Rape,01. Rape,394,784,113,724,5764,1002,784,507,6271
Andaman & Nicobar Islands,2004,Rape,01. Rape,4,4,0,7,29,10,4,4,33
Andhra Pradesh,2004,Rape,01. Rape,752,755,137,613,1979,1016,755,889,2875
Arunachal Pradesh,2004,Rape,01. Rape,1,27,4,22,361,42,27,5,366
Assam,2004,Rape,01. Rape,455,793,127,1436,2704,1171,793,582,3314
Bihar,2004,Rape,01. Rape,652,656,97,1206,3231,1390,656,749,3980
Chandigarh,2004,Rape,01. Rape,13,17,0,1,48,19,17,13,61
Chhattisgarh,2004,Rape,01. Rape,511,941,240,78,2986,969,941,751,4178
Dadra & Nagar Haveli,2004,Rape,01. Rape,5,5,0,3,7,7,5,5,12
Daman & Diu,2004,Rape,01. Rape,0,3,0,0,6,1,3,0,6
Delhi,2004,Rape,01. Rape,499,432,98,204,1375,551,432,597,1972
Goa,2004,Rape,01. Rape,10,33,7,21,50,37,33,17,68
Gujarat,2004,Rape,01. Rape,232,307,40,26,1971,339,307,272,2246
Haryana,2004,Rape,01. Rape,222,337,93,22,518,386,337,315,833
Himachal Pradesh,2004,Rape,01. Rape,81,133,26,35,402,153,133,107,509
